,gauge,accDepth_DAP,rainCode,intensityCode_a,timeCode_a,dataType,rainStartTime,timeStamp
79,83,11.43,0,0.0,0.0,a,1963-08-25 18:57:00,1963-08-25 19:39:00
80,83,0.0,0,0.0,0.0,a,1963-08-31 16:30:00,1963-08-31 16:30:00
81,83,1.778,0,0.0,0.0,a,1963-08-31 16:30:00,1963-08-31 16:37:00
82,83,2.286,0,0.0,0.0,a,1963-08-31 16:30:00,1963-08-31 17:04:00
83,83,3.81,0,0.0,0.0,a,1963-08-31 16:30:00,1963-08-31 17:25:00
84,83,4.318,0,0.0,0.0,a,1963-08-31 16:30:00,1963-08-31 17:34:00
85,83,0.0,0,0.0,0.0,a,1963-09-03 05:30:00,1963-09-03 05:30:00
86,83,1.27,0,2.0,0.0,a,1963-09-03 05:30:00,1963-09-03 06:30:00
87,83,0.0,0,0.0,0.0,a,1963-09-03 20:40:00,1963-09-03 20:40:00
88,83,0.508,0,2.0,0.0,a,1963-09-03 20:40:00,1963-09-03 21:05:00
89,83,0.0,0,0.0,0.0,a,1963-09-06 13:20:00,1963-09-06 13:20:00
90,83,2.032,0,0.0,0.0,a,1963-09-06 13:20:00,1963-09-06 13:27:00
91,83,3.556,0,0.0,0.0,a,1963-09-06 13:20:00,1963-09-06 13:33:00
92,83,5.08,0,0.0,0.0,a,1963-09-06 13:20:00,1963-09-06 13:37:00
93,83,5.842,0,0.0,0.0,a,1963-09-06 13:20:00,1963-09-06 13:42:00
94,83,6.858,0,0.0,0.0,a,1963-09-06 13:20:00,1963-09-06 13:49:00
95,83,7.366,0,0.0,0.0,a,1963-09-06 13:20:00,1963-09-06 13:59:00
96,83,0.0,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 21:05:00
97,83,2.286,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 21:21:00
98,83,3.556,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 21:35:00
99,83,3.556,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 21:53:00
100,83,5.08,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 22:00:00
101,83,7.112,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 22:05:00
