flume,preName,dataType,startTime,endTime,runoffDur_cal,rainDurMin,runoffVolume_DAP,runoffPeak_DAP,sediKg_DAP,runRainRatio,runEventCode,nGauges,maxRain,minRain,rainStartTime,rainEndTime,ratioFlag,runTimeFlag,missingRunDAPFlag,noRunRateFlag,noRainFlag,lowRainFlag,lowRunFlag,runCodeFlag,runCalc_dFlag,rainCodeFlag,timeFlag,intensityFlag,sameRainFlag,rainLateFlag,runTooLateFlag,runTooLateFlag2
102,a19671220-001900,a,1967-12-20 00:19:00,1967-12-20 02:10:00,111.0,1205.0,0.6608826,1.6054069999999998,,0.02923483029641695,0,1.0,22.606000900268555,22.606000900268555,1967-12-19 19:00:00,1967-12-20 15:05:00,,,0.0,,,,,,,,,,,,,
102,a19680702-141400,a,1968-07-02 14:14:00,1968-07-02 14:57:00,43.0,141.0,0.43484799999999996,1.4945106,,0.016784313112601736,1,1.0,25.908000946044922,25.908000946044922,1968-07-02 13:00:00,1968-07-02 15:21:00,,,,,,,,1.0,,,,,,,,
102,a19680705-103400,a,1968-07-05 10:34:00,1968-07-05 11:10:00,36.0,556.0,0.8229599999999999,6.5963038,,0.04695652423293858,0,1.0,17.525999069213867,17.525999069213867,1968-07-05 01:30:00,1968-07-05 10:46:00,,,,,,,,,,,,,,,,1.0
102,a19680705-175100,a,1968-07-05 17:51:00,1968-07-05 18:35:00,44.0,35.0,0.737362,3.8101016,,0.10367857159540313,1,1.0,7.111999988555908,7.111999988555908,1968-07-05 17:45:00,1968-07-05 18:20:00,,,,,,,,1.0,,,,,,,,
102,a19680718-181100,a,1968-07-18 18:11:00,1968-07-18 18:42:00,31.0,27.0,0.31521399999999994,1.9136614,,0.031820512379377906,0,1.0,9.906000137329102,9.906000137329102,1968-07-18 17:55:00,1968-07-18 18:22:00,,,,,,,,,,,,,,,,
102,a19680720-195800,a,1968-07-20 19:58:00,1968-07-20 20:31:00,33.0,46.0,0.36449,2.9235653999999998,,0.047833334051717934,0,1.0,7.619999885559082,7.619999885559082,1968-07-20 19:45:00,1968-07-20 20:31:00,,,,,,,,,,,,,,,,
102,a19680724-153300,a,1968-07-24 15:33:00,1968-07-24 16:10:00,37.0,32.0,0.357886,2.7348179999999997,,0.050321428652402,0,1.0,7.111999988555908,7.111999988555908,1968-07-24 15:27:00,1968-07-24 15:59:00,,,,,,,,,,,,,,,,
102,a19680809-205200,a,1968-08-09 20:52:00,1968-08-09 20:56:00,4.0,28.0,0.00919734,0.0,,0.002011666654917477,0,1.0,4.572000026702881,4.572000026702881,1968-08-09 20:30:00,1968-08-09 20:58:00,,,,,,,,,,,,,,,,
102,a19680820-061600,a,1968-08-20 06:16:00,1968-08-20 06:54:00,38.0,484.0,0.15496539999999998,0.4324096,,0.005810476173854362,0,1.0,26.670000076293945,26.670000076293945,1968-08-20 04:15:00,1968-08-20 12:19:00,,,,,,,,,,,,,,,,
102,a19680825-174300,a,1968-08-25 17:43:00,1968-08-25 18:35:00,52.0,104.0,4.302759999999999,29.058996999999998,,0.17645832770178965,0,1.0,24.384000778198242,24.384000778198242,1968-08-25 16:47:00,1968-08-25 18:31:00,,,,,,,,,,,,,,,,
102,a19680829-202500,a,1968-08-29 20:25:00,1968-08-29 21:05:00,40.0,135.0,0.693166,3.3364678,,0.052480768503216556,0,1.0,13.208000183105469,13.208000183105469,1968-08-29 20:22:00,1968-08-29 22:37:00,,,,,,,,,,,,,,,,
102,a19680831-125000,a,1968-08-31 12:50:00,1968-08-31 14:07:00,77.0,107.0,7.06628,23.3609388,,0.28680411802739375,0,1.0,24.63800048828125,24.63800048828125,1968-08-31 12:30:00,1968-08-31 14:17:00,,,,,,,,,,,,,,,,
102,a19680914-060000,a,1968-09-14 06:00:00,1968-09-14 06:19:00,19.0,106.0,0.1986026,1.6047974,,0.026063333724765332,0,1.0,7.619999885559082,7.619999885559082,1968-09-14 04:30:00,1968-09-14 06:16:00,,,,,,,,,,,,,,,,
102,a19690710-195400,a,1969-07-10 19:54:00,1969-07-10 20:25:00,31.0,121.0,0.889254,9.550780999999999,,0.05739344101206914,1,1.0,15.494000434875488,15.494000434875488,1969-07-10 19:40:00,1969-07-10 21:41:00,,,,,,,,1.0,,,,,,,,
102,a19690722-134200,a,1969-07-22 13:42:00,1969-07-22 13:55:00,13.0,37.0,0.0750824,0.0337566,,0.013436364067468875,0,1.0,5.5879998207092285,5.5879998207092285,1969-07-22 13:32:00,1969-07-22 14:09:00,,,,,,,,,,,,,,,,
102,a19690728-023000,a,1969-07-28 02:30:00,1969-07-28 03:01:00,31.0,291.0,0.6705599999999999,5.381752,,0.03520000140973595,0,1.0,19.049999237060547,19.049999237060547,1969-07-28 01:10:00,1969-07-28 06:01:00,,,,,,,,,,,,,,,,
102,a19690806-210900,a,1969-08-06 21:09:00,1969-08-06 21:23:00,14.0,128.0,0.1425956,0.4400804,,0.014773683556568731,1,1.0,9.652000427246094,9.652000427246094,1969-08-06 20:55:00,1969-08-06 23:03:00,,,,,,,,1.0,,,,,,,,
102,a19690813-192800,a,1969-08-13 19:28:00,1969-08-13 19:42:00,14.0,178.0,0.19204939999999998,1.14173,,0.018002380579014748,0,1.0,10.668000221252441,10.668000221252441,1969-08-13 19:25:00,1969-08-13 22:23:00,,,,,,,,,,,,,,,,
102,a19690913-133500,a,1969-09-13 13:35:00,1969-09-13 13:42:00,7.0,22.0,0.0896366,0.0352298,,0.01307037074842438,1,1.0,6.857999801635742,6.857999801635742,1969-09-13 13:20:00,1969-09-13 13:42:00,,,,,,,,1.0,,,,,,,,
102,a19690915-083900,a,1969-09-15 08:39:00,1969-09-15 09:11:00,32.0,65.0,0.36957,1.3566648,,0.02798076884286555,0,1.0,13.208000183105469,13.208000183105469,1969-09-15 08:25:00,1969-09-15 09:30:00,,,,,,,,,,,,,,,,
