flume,duration_DAP,runoffVolume_DAP,runoffPeak_DAP,runEventCode,dataType,runCalc_d,startTime,endTime,preName,missingRunDAPFlag,intervalNewHr
102,7.0,0.0896366,0.0352298,1,a,,1969-09-13 13:35:00,1969-09-13 13:42:00,a19690913-133500,,737.8833333333333
102,32.0,0.36957,1.3566648,0,a,,1969-09-15 08:39:00,1969-09-15 09:11:00,a19690915-083900,,42.95
102,29.0,0.11605259999999999,0.22169119999999998,0,a,,1970-08-02 23:08:00,1970-08-02 23:37:00,a19700802-230800,,7717.95
102,38.0,2.53365,24.120856,0,a,,1970-08-10 18:16:00,1970-08-10 18:54:00,a19700810-181600,,186.65
102,33.0,0.696468,4.3128692,0,a,,1970-08-14 15:13:00,1970-08-14 15:46:00,a19700814-151300,,92.31666666666666
102,16.0,0.14071599999999998,0.9106154,0,a,,1970-08-26 16:01:00,1970-08-26 16:17:00,a19700826-160100,,288.25
102,9.0,0.068072,0.0136144,0,a,,1970-09-04 18:31:00,1970-09-04 18:40:00,a19700904-183100,,218.23333333333332
102,63.0,15.140939999999999,64.38732359999999,0,a,,1970-09-08 13:12:00,1970-09-08 14:15:00,a19700908-131200,,90.53333333333333
102,23.0,7.571231999999999,33.649031,0,a,,1971-07-23 18:41:00,1971-07-23 22:35:00,a19710723-184100,0.0,7636.433333333333
102,63.0,4.01828,16.465143599999998,1,a,,1971-07-24 18:32:00,1971-07-24 19:35:00,a19710724-183200,,19.95
102,18.0,0.334518,3.1651194,0,a,,1971-07-29 19:53:00,1971-07-29 20:11:00,a19710729-195300,,120.3
102,0.0,0.9143999999999999,0.0,0,a,,1971-08-03 16:15:00,1971-08-03 16:15:00,a19710803-161500,,116.06666666666666
102,41.0,7.9146399999999995,59.4348062,1,a,,1971-08-10 18:52:00,1971-08-10 19:33:00,a19710810-185200,,170.61666666666667
102,51.0,8.260079999999999,37.059412800000004,1,a,,1971-08-12 21:08:00,1971-08-12 21:59:00,a19710812-210800,,49.583333333333336
102,36.0,6.20268,25.018796799999997,0,a,,1971-08-18 21:05:00,1971-08-18 21:41:00,a19710818-210500,,143.1
102,19.0,0.587756,6.2561469999999995,0,a,,1971-08-27 21:31:00,1971-08-27 21:50:00,a19710827-213100,,215.83333333333334
102,57.0,2.2558502000000002,13.479398999999999,1,a,,1971-09-18 11:57:00,1971-09-18 17:25:00,a19710918-115700,0.0,518.1166666666667
102,12.0,0.14884399999999998,0.22044659999999996,0,a,,1971-09-29 18:36:00,1971-09-29 20:36:00,a19710929-183600,0.0,265.18333333333334
102,54.0,4.10464,24.731675199999998,1,a,,1972-06-06 20:31:00,1972-06-06 21:25:00,a19720606-203100,,6023.916666666667
102,6.0,9.905999999999999e-05,0.0,0,a,,1972-07-15 20:48:00,1972-07-15 20:54:00,a19720715-204800,,935.3833333333333
102,21.0,0.011112499999999999,0.1178814,1,a,,1972-07-24 17:29:00,1972-07-24 17:50:00,a19720724-172900,,212.58333333333334
102,30.0,0.00783336,0.034975799999999994,0,a,,1972-07-28 18:19:00,1972-07-28 18:49:00,a19720728-181900,,96.48333333333333
102,0.0,0.9652,0.0,0,a,,1972-08-08 17:00:00,1972-08-08 17:00:00,a19720808-170000,,262.18333333333334
102,50.0,0.41808399999999996,2.9628083999999997,1,a,,1972-08-12 15:55:00,1972-08-12 16:45:00,a19720812-155500,,94.91666666666667
102,22.0,0.0628777,0.502285,0,a,,1972-08-26 13:21:00,1972-08-26 15:00:00,a19720826-132100,0.0,332.6
102,39.0,1.2235179999999999,11.469928799999998,0,a,,1972-08-29 19:33:00,1972-08-29 20:12:00,a19720829-193300,,76.55
102,47.0,9.685019999999998,46.210474,0,a,,1972-09-06 13:21:00,1972-09-06 14:08:00,a19720906-132100,,185.15
102,33.0,2.7203399999999998,30.290211199999998,0,a,,1972-10-06 10:35:00,1972-10-06 11:08:00,a19721006-103500,,716.45
102,36.0,2.5339548,3.3603691999999996,0,a,,1972-10-19 13:18:00,1972-10-19 15:33:00,a19721019-131800,0.0,314.1666666666667
102,0.0,0.9905999999999999,0.0,0,a,,1973-06-12 17:20:00,1973-06-12 17:20:00,a19730612-172000,,5665.783333333334
102,30.0,0.0393954,0.228092,0,a,,1973-07-10 18:20:00,1973-07-10 18:50:00,a19730710-182000,,673.0
102,37.0,2.59842,17.098543399999997,1,a,,1973-07-14 12:00:00,1973-07-14 12:37:00,a19730714-120000,,89.16666666666667
102,26.0,0.40893999999999997,2.5767792,1,a,,1973-07-15 03:10:00,1973-07-15 03:36:00,a19730715-031000,,14.55
102,95.0,19.22018,81.9197752,1,a,,1973-07-27 13:17:00,1973-07-27 14:52:00,a19730727-131700,,297.68333333333334
102,30.0,0.32994599999999996,1.4950693999999998,0,a,,1973-08-21 18:43:00,1973-08-21 19:13:00,a19730821-184300,,603.85
102,11.0,0.00254,0.0150622,0,a,,1973-09-16 17:26:00,1973-09-16 17:37:00,a19730916-172600,,622.2166666666667
102,26.0,0.04064,0.30860999999999994,0,a,,1974-07-07 14:23:00,1974-07-07 14:49:00,a19740707-142300,,7052.766666666666
102,130.0,6.24332,29.311599999999995,0,a,,1974-07-19 23:17:00,1974-07-20 01:27:00,a19740719-231700,,296.46666666666664
