,preName,runStart,runEnd,runoff,peak,runDur,runCode,nGauges,avgRain,minRain,maxRain,rainPeak,rainStartFirst,rainStartLast,rainEndLast,rainEndFirst,runErainE,runSrainSL,runSrainEL,lowRunFlag,lowRainFlag,runAeFlag,runPrFlag,rainLateFlag,runLateFlag,runLateFlag2
25,20150611-210000,2015-06-11 21:00:00,2015-06-11 23:45:00,0.18909774883571429,0.13349504142857144,165.0,['A'],6.0,36.57599999999997,9.144,87.3759999999999,179.832,2015-06-11 17:20:00,2015-06-11 18:40:00,2015-06-11 23:50:00,2015-06-11 22:30:00,-1.5,3.6666666666666665,-2.8333333333333335,,,,,,,
26,20150617-150000,2015-06-17 15:00:00,2015-06-17 15:15:00,2.022652142857143e-05,8.090608571428571e-05,15.0,['A'],6.0,0.0,0.0,0.0,0.0,2015-06-17 15:00:00,2015-06-17 15:00:00,2015-06-17 15:15:00,2015-06-17 15:15:00,-0.25,0.0,-0.25,,,,,,,
27,20150618-163000,2015-06-18 16:30:00,2015-06-18 17:30:00,6.472486857142858e-05,6.472486857142858e-05,60.0,['A'],6.0,0.0,0.0,0.0,0.0,2015-06-18 16:30:00,2015-06-18 16:30:00,2015-06-18 17:30:00,2015-06-18 17:30:00,-1.0,0.0,-1.0,,,,,,,
28,20150619-151500,2015-06-19 15:15:00,2015-06-19 17:30:00,7.079282499999999e-05,5.663426e-05,135.0,['A'],6.0,0.0,0.0,0.0,0.0,2015-06-19 15:15:00,2015-06-19 15:15:00,2015-06-19 17:30:00,2015-06-19 17:30:00,-2.25,0.0,-2.25,,,,,,,
29,20150621-143000,2015-06-21 14:30:00,2015-06-21 18:45:00,0.00015169891071428567,4.045304285714286e-05,255.0,['A'],6.0,0.0,0.0,0.0,0.0,2015-06-21 14:30:00,2015-06-21 14:30:00,2015-06-21 18:45:00,2015-06-21 18:45:00,-4.25,0.0,-4.25,,,,,,,
30,20150623-160000,2015-06-23 16:00:00,2015-06-23 16:15:00,4.045304285714286e-06,1.6181217142857145e-05,15.0,['A'],6.0,0.0,0.0,0.0,0.0,2015-06-23 16:00:00,2015-06-23 16:00:00,2015-06-23 16:15:00,2015-06-23 16:15:00,-0.25,0.0,-0.25,,,,,,,
31,20150624-141500,2015-06-24 14:15:00,2015-06-24 14:45:00,8.090608571428572e-06,1.6181217142857145e-05,30.0,['A'],6.0,0.0,0.0,0.0,0.0,2015-06-24 14:15:00,2015-06-24 14:15:00,2015-06-24 14:45:00,2015-06-24 14:45:00,-0.5,0.0,-0.5,,,,,,,
32,20170510-160000,2017-05-10 16:00:00,2017-05-10 22:00:00,0.16983805513142858,0.11326852,360.0,['A' 'A:e'],5.0,26.923999999999985,0.0,81.53399999999992,82.296,2017-05-10 04:10:00,2017-05-10 16:00:00,2017-05-10 22:00:00,2017-05-10 18:00:00,-2.0,11.833333333333334,-6.0,,,1.0,,,,
33,20170511-074500,2017-05-11 07:45:00,2017-05-11 11:30:00,0.07184055881000001,0.03090612474285715,225.0,['A' 'A:e'],5.0,47.49799999999993,18.03400000000001,97.28199999999961,362.712,2017-05-10 13:10:00,2017-05-11 05:30:00,2017-05-11 11:35:00,2017-05-11 08:05:00,-0.3333333333333333,18.583333333333332,-3.8333333333333335,,,1.0,,,,
34,20170530-203000,2017-05-30 20:30:00,2017-05-31 02:45:00,0.6298376960685715,0.4449834714285714,375.0,['A' 'A:e'],6.0,13.504333333333335,1.27,42.92600000000001,97.536,2017-05-29 21:40:00,2017-05-30 20:55:00,2017-05-30 23:00:00,2017-05-30 20:50:00,-0.3333333333333333,22.833333333333332,-2.5,,,1.0,,,,
35,20170809-200000,2017-08-09 20:00:00,2017-08-09 23:30:00,0.061845960354761906,0.05809056954285714,210.0,['A' 'A:e'],6.0,25.48466666666667,2.5399999999999996,50.546,182.88,2017-08-09 05:45:00,2017-08-09 20:45:00,2017-08-09 23:35:00,2017-08-09 21:15:00,-1.25,14.25,-3.5833333333333335,,,1.0,,,,
36,20180723-221500,2018-07-23 22:15:00,2018-07-24 02:45:00,0.1554590210478572,0.0946601202857143,270.0,['A' 'A:e'],6.0,39.70866666666662,10.160000000000002,68.57999999999991,249.93599999999995,2018-07-23 02:15:00,2018-07-23 18:40:00,2018-07-24 00:40:00,2018-07-23 21:45:00,0.5,20.0,-2.4166666666666665,,,1.0,,,,
37,20180730-071500,2018-07-30 07:15:00,2018-07-30 19:45:00,0.4256125318564286,0.10760509399999998,750.0,['A' 'A:e'],6.0,17.695333333333334,3.8100000000000005,46.482,155.448,2018-07-29 18:40:00,2018-07-29 23:30:00,2018-07-30 03:25:00,2018-07-30 00:20:00,6.916666666666667,12.583333333333334,3.8333333333333335,,,1.0,,,,1.0
38,20180806-230000,2018-08-06 23:00:00,2018-08-07 23:30:00,3.456057847065952,1.1569570257142854,1470.0,['A' 'A:e'],6.0,82.84633333333329,14.478000000000003,195.57999999999987,201.168,2018-08-06 19:25:00,2018-08-06 20:05:00,2018-08-07 06:15:00,2018-08-07 03:40:00,-4.666666666666667,3.5833333333333335,-7.25,,,1.0,,,,
39,20190721-204500,2019-07-21 20:45:00,2019-07-22 02:45:00,1.4898990527761904,1.07605094,360.0,['P'],6.0,55.752999999999965,0.0,107.1879999999999,149.352,2019-07-21 19:20:00,2019-07-21 20:45:00,2019-07-22 02:45:00,2019-07-22 00:35:00,-3.8333333333333335,1.4166666666666667,-6.0,,,,1.0,,,
